DealerID,Q1_RecordCount,Q2_RecordCount,Q1_Feature1,Q1_Feature2,Q1_Feature3,Q1_Feature4,Q1_Feature5,Q2_Feature1,Q2_Feature2,Q2_Feature3,Q2_Feature4,Q2_Feature5,IF_Flag,IF_Score,LOF_Flag,LOF_Score,DBSCAN_Flag,DBSCAN_Cluster,SVM_Flag,SVM_Score,ConsensusScore,RiskTier
DEALER_107,199,89,2226.123351410352,6.310424188199102,0.2328030700371508,33.82046008065466,0.09495867617687208,2029.522007423952,11.26495244393811,0.3901179034376139,38.82349555004178,0.06715451256953223,1,-0.03045145288284473,1,-2.3213844397042176,1,-1,1,-0.10618939109414316,4,High
DEALER_058,55,43,822.3657258829172,7.492376634864503,0.1058503720887197,35.24868470216922,0.1411282536264729,1107.374441078661,4.686182611495487,0.1426466508314577,39.37691452077149,0.1564359605784966,1,-0.0404777358370621,1,-1.5237806060862762,1,-1,1,-3.9674005831713544e-05,4,High
DEALER_049,175,200,3267.283393204377,9.67443751448834,0.3148587477046125,36.04846260836916,0.0609419135493087,2495.95938862324,8.548243942482154,0.2249459510487078,23.51762600187649,0.05052126871628531,1,-0.15968696957047562,1,-2.71307500758288,1,-1,1,-0.19820316535976357,4,High
DEALER_051,194,61,2236.555333809632,12.11356954622992,0.3984879366396125,60.43082943494028,0.06655843557742444,2340.012680605852,15.86769846077207,0.3238867939976603,34.26156180202616,0.1015110641637109,1,-0.210439225699726,1,-2.738610240847618,1,-1,1,-0.3520889676344101,4,High
DEALER_154,87,120,1265.670828649632,5.795199164462581,0.1142747751366055,5.812697398281731,0.1057548850788183,1029.262421203347,5.714161838271261,0.200178511734533,50.00770481272123,0.08818406189141215,1,-0.0693451954107202,1,-1.8528607510990853,1,-1,1,-0.04103795817127187,4,High
DEALER_065,114,247,1779.033043917381,10.78780104939017,0.2708804267381522,27.1438446413576,0.07615787239094955,2355.506155897969,9.054525409364423,0.7267749814058567,39.24494448937106,0.04882488558962461,1,-0.09765413269687101,1,-2.2626275680439853,1,-1,1,-0.10669420512349825,4,High
DEALER_134,148,210,1716.206795703102,14.37237674359407,0.3215128486147306,35.60570630365467,0.02756372605974646,2391.056398594969,10.44568155455161,0.3584388372485153,39.85942247810271,0.1117115516811075,1,-0.18402001583588007,1,-2.532177400436752,1,-1,1,-0.5220335690950355,4,High
DEALER_124,128,230,787.9053478393242,6.954724337148789,0.1091087887341068,19.95361257620754,0.05528432126413485,1276.178577025811,2.685110043572947,0.099772791490427,22.27051214024366,0.104313495189569,1,-0.0017971563218961428,1,-1.3751210083279608,1,-1,1,-0.0002065633152399382,4,High
DEALER_122,173,44,2369.6196470043,8.45669515568802,0.5028871571689683,39.23530725700578,0.07096823937491387,2902.340788299973,13.18932579008773,0.3577236564407733,42.20278427406204,0.08768835450134087,1,-0.15128713163845958,1,-2.666519421544923,1,-1,1,-0.21956363921845257,4,High
DEALER_077,95,127,2190.06381105739,9.823250830383813,0.3610070062420248,40.79426141964983,0.0742676836611923,1949.995860191991,9.902039444508906,0.5111534487396823,29.07045808007445,0.0355562734408218,1,-0.08397031427545315,1,-2.3582488653649234,1,-1,0,0.21633725655443214,3,High
DEALER_138,27,92,2042.452431616847,10.75449458596339,0.3748045643649967,48.17915198082663,0.1145426898344449,2942.79933738001,7.60811326125084,0.3037854711552758,44.34807974767496,0.09310223055800118,1,-0.15080290255980539,1,-2.355681282115293,1,-1,0,0.0004560593258022827,3,High
DEALER_069,37,160,2813.815604553803,6.789071110079922,0.341074877291376,29.45195068342175,0.06389082199467443,2564.217420981646,9.275164438432913,0.5377441657192626,36.31908380734721,0.07727444087009376,1,-0.1194287786222416,1,-2.5936762779660834,1,-1,0,9.897754281684712e-05,3,High
DEALER_034,147,194,948.2709949211483,5.471392961911903,0.05348878676282039,13.6173245351765,0.106138306869742,1157.575674129218,6.169148578482478,0.2085029510085332,32.18836332364689,0.07304792355615439,1,-0.04057693025792569,1,-1.645452048835336,1,-1,0,0.0001100507534088635,3,High
DEALER_060,177,155,2574.370026522737,10.53087415520321,0.4083293910682743,35.11188177492234,0.1168003641622533,2150.143822748762,8.739890253469422,0.2202584638222751,28.46453043060312,0.09957770339144359,1,-0.16365357239072914,1,-2.5668000148887065,1,-1,0,6.637486330807185e-05,3,High
DEALER_152,84,30,1106.363138102804,3.789756749668271,0.170651902884058,11.55524499317779,0.07039385217798574,910.8657775336056,4.155787880462784,0.1741218559048205,26.72717689117315,0.1084142338964197,1,-0.0025855042354381297,1,-1.4296872801347855,1,-1,0,0.0001832320440713353,3,High
DEALER_082,120,131,799.7659350429848,3.629674128629115,0.1668075439489975,33.23226145770916,0.1502302715307376,1357.81335873585,3.305720713204577,0.1764036267096761,48.47131633666217,0.08634381407476256,1,-0.01628673888230986,0,-1.2881036426329824,1,-1,1,-0.0002856276419960224,3,High
DEALER_162,172,224,1048.661783070711,3.761284795306596,0.1842007729718911,52.94336249922388,0.1168238393047394,953.649996718634,6.202993237690495,0.2620439891754665,24.37842731279176,0.06476365677256682,1,-0.005947595548323303,0,-1.3122979161404889,1,-1,1,-0.000267851956796461,3,High
DEALER_163,114,71,844.5978523469113,3.506633854878709,0.1755850563799161,34.98464117458923,0.01872819678649783,972.0354050644293,6.251857704287317,0.1136177335630447,31.70907091307859,0.1019371210522848,1,-0.0021550662173106527,0,-1.1807357575764215,1,-1,1,-0.00014688637271609295,3,High
DEALER_101,211,103,1053.278918143678,2.802312698941852,0.0571857595045542,29.59186155454905,0.1194796375745408,750.6323278375831,5.619636703321222,0.1390404325813865,21.59184470121556,0.106770569259166,1,-0.004831793819669694,0,-1.2541069751673846,1,-1,1,-0.00021332446042854336,3,High
DEALER_047,122,194,683.6088895558064,5.434306224714613,0.2321073992778356,49.02952821360865,0.09746415863428763,1369.881379812224,3.392108941032167,0.05136514670360334,41.03163222160714,0.1329111219183853,0,0.006553482299319291,0,-1.2934764814326827,1,-1,1,-0.0003766190502567657,2,Medium
DEALER_145,248,228,587.567888452342,2.976238218519078,0.1900698159060603,36.6928778623604,0.1229698750762465,898.402274912486,4.860830230098895,0.1425115068519932,23.80305278387595,0.08262586723518321,0,0.0010997561058420646,0,-1.2308392839953224,1,-1,1,-0.00030872190351605155,2,Medium
DEALER_158,148,225,1146.477464193918,7.442087963277281,0.2319502260345315,25.70056975888055,0.06596292433042791,1116.999168744263,4.724889527651507,0.1345462563240233,28.76829493090462,0.05811069284642462,0,0.032954232235739456,1,-1.3275413252546089,1,-1,0,2.1776669440587426e-05,2,Medium
DEALER_031,123,126,1453.145326756106,5.964302023254322,0.1335344671113516,35.24733822426159,0.02549474838776315,1188.455704474126,6.271755181100474,0.05450659477950952,40.88423766369156,0.09912883447024425,1,-0.0012001596148566995,0,-1.279272832889515,1,-1,0,0.0002746267175319783,2,Medium
DEALER_197,98,30,915.0803139450995,7.185558620975731,0.1704488725819014,49.35496043680287,0.07358364709000619,946.9140141787533,4.974010989876999,0.1723229079238805,35.85328355389214,0.0600213777167247,0,0.03951061308336684,0,-1.2128361719418326,1,-1,1,-0.00043939986695296085,2,Medium
DEALER_029,145,145,1016.288160693017,3.934239375519617,0.1688454517359972,20.10523877405991,0.02730116645556393,878.8295708921307,5.435708483219845,0.1686589502995681,26.96286058105995,0.05166314203164498,0,0.00013335106831741106,1,-1.3451591668868574,1,-1,0,0.00023593897871920788,2,Medium
DEALER_127,38,74,1210.824476824117,6.60294120358428,0.05877048618512307,35.95380688901913,0.06125466654288706,1045.77291897865,4.895636801532214,0.1301784366240131,18.62796375561089,0.06477185037647401,0,0.03391122634027949,0,-1.252024161845101,1,-1,1,-0.00038268013667508427,2,Medium
DEALER_111,83,173,939.7978889759422,7.904498014696883,0.113577004643142,33.1965484061752,0.04610465072183615,860.680461059546,2.460649948471406,0.1395952765734133,34.25896080581624,0.1200220465078242,0,0.029916003269979174,1,-1.3304711698416731,1,-1,0,0.00018321544401977974,2,Medium
DEALER_045,35,164,842.1650599298341,4.772906790876314,0.09022377520722773,50.24048171251576,0.05613020457172947,1292.626358117628,4.335986199917929,0.09379981445267994,29.30143389788977,0.1080659930696963,0,0.010434051842512115,0,-1.2199351540204195,1,-1,1,-7.677313527554297e-05,2,Medium
